CASE_PARTICIPANT_ID,LAW_ENFORCEMENT_AGENCY,INCIDENT_CITY,CHARGE_ID,CLASS.INITIATIONS,SECTION,AOIC,AGE_AT_INCIDENT,GENDER,RACE,UPDATED_OFFENSE_CATEGORY,JUDGE,COURT_NAME,COURT_FACILITY,CHARGE_REDUCTION
"474,994,225,199",RIVER FOREST PD,River Forest,"578,110,862,886",3,16A-3(a),15601,41,Female,White,Retail Theft,Carol A Kipperman,District 4 - Maywood,Maywood Courthouse,0
"475,060,115,824",HANOVER PARK PD,Hanover Park,"578,206,992,223",4,16A-3(a),15600,39,Male,Black,Retail Theft,Jill  Cerone-Marisie,District 3 - Rolling Meadows,Rolling Meadows Courthouse,0
"475,069,877,398",WILMETTE PD,Wilmette,"578,228,363,396",3,16-25(a)(1),16722,35,Female,Black,Retail Theft,Garritt E Howard,District 2 - Skokie,Skokie Courthouse,1
"475,111,974,186",CHICAGO PD,Chicago,"578,293,950,789",4,16A-3(a),15600,42,Male,Black,Retail Theft,Vincent M Gaughan,District 1 - Chicago,26TH Street,0
"475,118,014,160",CHICAGO PD,Chicago,"578,316,058,899",4,16A-3(a),15600,25,Male,Black,Retail Theft,Shelley  Sutker-Dermer,District 2 - Skokie,Skokie Courthouse,0
"475,120,027,484",EVANSTON PD,Evanston,"578,316,795,836",4,16A-3(f),15615,47,Female,Black,Retail Theft,Garritt E Howard,District 2 - Skokie,Skokie Courthouse,0
"475,123,688,075",HOMEWOOD PD,Homewood,"578,317,942,182",4,16-25(a)(1),16720,53,Male,Black,Retail Theft,Brian K Flaherty,District 6 - Markham,Markham Courthouse,0
"475,167,615,158",BURBANK PD,Burbank,"578,372,229,875",3,16-25(a)(1),16722,19,Female,Black,Retail Theft,John Joseph Hynes,District 5 - Bridgeview,Bridgeview Courthouse,0
"475,173,167,053",CHICAGO PD,Chicago,"578,373,621,867",3,16A-3(a),15601,31,Female,Black,Retail Theft,Joseph G Kazmierski,District 1 - Chicago,26TH Street,0
"475,173,228,063",CHICAGO PD,Chicago,"578,373,621,867",3,16A-3(a),15601,21,Male,Black,Retail Theft,Joseph G Kazmierski,District 1 - Chicago,26TH Street,0
"475,173,838,161",CHICAGO PD,Chicago,"578,373,785,631",3,16A-3(a),15601,25,Male,Black,Retail Theft,Joseph G Kazmierski,District 1 - Chicago,26TH Street,0
"475,173,960,181",CHICAGO PD,Chicago,"578,373,785,631",3,16A-3(a),15601,21,Male,Black,Retail Theft,Joseph G Kazmierski,District 1 - Chicago,26TH Street,0
"475,184,148,823",ROSEMONT PD,Rosemont,"578,380,090,536",3,16-25(a)(1),16722,41,Male,White,Retail Theft,Kay M Hanlon,District 3 - Rolling Meadows,Rolling Meadows Courthouse,0
"475,184,514,883",BERWYN PD,Berwyn,"578,380,172,418",4,16A-3(a),15600,22,Female,Black,Retail Theft,Carol A Kipperman,District 4 - Maywood,Maywood Courthouse,0
"475,187,138,306",CHICAGO PD,Chicago,"578,381,073,119",4,16A-3(a),15600,27,Female,White,Retail Theft,Larry G Axelrood,District 2 - Skokie,Skokie Courthouse,0
"475,224,720,365",CHICAGO PD,Chicago,"578,423,324,173",3,16-25(a)(1),16722,46,Male,Black,Retail Theft,Sharon M Sullivan,District 2 - Skokie,Skokie Courthouse,0
"475,246,927,946",OAK PARK PD,Oak Park,"578,458,533,385",4,16A-3(a),15600,39,Male,Black,Retail Theft,Paula M Daleo,District 4 - Maywood,Maywood Courthouse,0
