CASE_PARTICIPANT_ID,LAW_ENFORCEMENT_AGENCY,INCIDENT_CITY,CHARGE_ID,CLASS.INITIATIONS,SECTION,AOIC,AGE_AT_INCIDENT,GENDER,RACE,UPDATED_OFFENSE_CATEGORY,JUDGE,COURT_NAME,COURT_FACILITY,CHARGE_REDUCTION
"486,681,086,641",ARLINGTON HEIGHTS PD,Arlington Hts,"595,460,243,119",3,16-25(a)(1),16722,29,Male,White,Retail Theft,Kay M Hanlon,District 3 - Rolling Meadows,Rolling Meadows Courthouse,1
"486,708,663,088",CHICAGO PD,Chicago,"595,487,346,024",4,16-25(a)(1),16720,47,Female,White,Retail Theft,Rosemary Grant Higgins,District 1 - Chicago,26TH Street,0
"486,716,350,327",CHICAGO PD,Chicago,"595,495,779,859",4,16-25(a)(1),16720,37,Male,Black,Retail Theft,Clayton Jay Crane,District 1 - Chicago,26TH Street,0
"486,718,180,623",ORLAND PARK PD,Orland Park,"595,496,844,323",2,33D-1(a),1443600,39,Female,Black,Retail Theft,Kerry M Kennedy,District 5 - Bridgeview,Bridgeview Courthouse,1
"486,718,180,623",ORLAND PARK PD,Orland Park,"595,496,762,442",3,16-25(a)(1),16722,39,Female,Black,Retail Theft,Kerry M Kennedy,District 5 - Bridgeview,Bridgeview Courthouse,0
"486,718,241,632",CHICAGO PD,Chicago,"595,496,680,560",3,16-25(a)(1),16722,33,Female,White,Retail Theft,Catherine Marie Haberkorn,District 2 - Skokie,Skokie Courthouse,0
"486,769,367,876",CHICAGO PD,Chicago,"595,585,031,118",4,16-25(a)(1),16720,49,Female,Black,Retail Theft,William H Hooks,District 1 - Chicago,26TH Street,0
"486,774,614,722",EVANSTON PD,Evanston,"595,601,816,905",4,16-25(a)(1),16720,59,Male,Black,Retail Theft,Lauren Gottainer Edidin,District 2 - Skokie,Skokie Courthouse,0
"486,806,888,926",CHICAGO PD,Chicago,"595,628,592,282",4,16-25(a)(1),16720,47,Male,Black,Retail Theft,Neil J Linehan,District 5 - Bridgeview,Bridgeview Courthouse,0
"486,828,852,468",CHICAGO PD,Chicago,"595,991,410,932",4,16-25(a)(1),16720,47,Female,Black,Retail Theft,Catherine Marie Haberkorn,District 2 - Skokie,Skokie Courthouse,0
"486,833,001,137",CHICAGO PD,Chicago,"595,677,393,888",3,16-25(a)(1),16722,19,Female,Black,Retail Theft,William T O'Brien,District 2 - Skokie,Skokie Courthouse,0
